player_id,team_id,player_name,tm_id
3043,38,Christian Dannemann Eriksen,69633
3077,38,Jan Vertonghen,43250
3082,38,Harry Winks,249126
3086,38,Ben Davies,192765
3094,38,Bamidele Alli,207929
3308,38,Kieran Trippier,95810
3486,38,Fernando Llorente Torres,35564
3494,38,Davinson Sánchez Mina,341429
3594,38,Danny Rose,50174
3609,38,Michel Vorm,26276
3745,38,Lucas Rodrigues Moura da Silva,77100
10955,38,Harry Kane,132098
20005,38,Toby Alderweireld,42710
3287,23,Nathaniel Chalobah,128900
3459,55,Alfie Mawson,287431
6744,55,Luciano Vietto,214316
10283,55,Stefan Marius Johansen,62008
12258,55,Marcus Bettinelli,116648
12259,55,Denis Odoi,59641
15689,55,Floyd Ayité,77974
3066,38,Kyle Walker-Peters,341051
3083,38,Heung-Min Son,91845
3091,38,Moussa Sissoko,46001
3099,38,Hugo Lloris,17965
21081,38,Juan Marcos Foyth,480763
22145,38,Oliver Skipp,406638
5678,28,Jefferson Andrés Lerma Solís,262980
6895,28,Diego Rico Salguero,249513
3585,38,Erik Lamela,111630
10956,38,Eric Dier,175722
3093,37,Florian Lejeune,127108
3666,37,Robert Kenedy Nunes do Nascimento,281404
4031,37,Sean Longstaff,346707
8288,37,Antonio Barreca,241889
4354,36,Philip Foden,406635
3279,35,José Heriberto Izquierdo Mena,147094
3573,35,Beram Kayal,44741
4624,35,Jürgen Locadia,166240
6593,35,Martín Montoya Torralbo,68645
3057,37,Jonjo Shelvey,71292
3307,22,Marc Albrighton,61560
3336,22,Harry Maguire,177907
3338,22,Onyinye Wilfred Ndidi,274839
3458,22,Ben Chilwell,316125
3497,22,Vicente Iborra De La Fuente,65467
3708,22,Kelechi Promise Iheanacho,295330
3709,22,Daniel Amartey,214056
3813,22,Wes Morgan,10003
3815,22,Kasper Schmeichel,16911
4506,22,Nampalys Mendy,111051
6352,22,Ricardo Domingos Barbosa Pereira,215876
9905,22,James Maddison,294057
10960,22,Jamie Vardy,197838
2965,32,Christopher Schindler,57842
2968,32,Elias Kachunga,49501
2977,32,Chris Löwe,55125
3027,32,Mathias Jattah-Njie Jørgensen,52059
3257,32,Steve Mounié,238639
3281,32,Aaron Mooy,123951
3322,32,Jonas Lössl,48870
3331,32,Philip Billing,320411
3656,32,Alex Pritchard,200777
4006,32,Karlan Grant,314183
8358,32,Juninho Bacuna,348863
11416,32,Jon Gorenc Stankovič,245034
13206,32,Erik Durm,93922
24065,32,Aaron Rowe,657994
3614,28,Dominic Solanke,258889
4590,28,Nathaniel Edwin Clyne,85177
4767,28,Chris Mepham,480987
6409,28,Adam Smith,61841
20074,28,Artur Boruc,15220
3052,40,Pablo Javier Zabaleta Girod,20007
3058,40,Javier Hernández Balcázar,50935
3062,40,Aaron Cresswell,92571
3262,40,Łukasz Fabiański,29692
3325,40,Marko Arnautović,41384
3349,40,Michail Antonio,104124
3595,40,Manuel Lanzini,135853
3843,40,Angelo Obinze Ogbonna,48002
3897,40,Pedro Mba Obiang Avomo,101213
3943,40,Declan Rice,357662
4349,40,Issa Diop,272622
6732,40,Lucas Pérez Martínez,73185
10289,40,Robert Snodgrass,22614
18244,40,Grady Diangana,342048
3280,29,Richarlison de Andrade,378710
3436,29,Idrissa Gana Gueye,126665
3438,29,Michael Keane,118534
3456,29,Kurt Happy Zouma,157509
3468,29,Jordan Pickford,130164
3470,29,Dominic Calvert-Lewin,306024
3648,29,Cenk Tosun,45671
3652,29,Tom Davies,314210
3668,29,Theo Walcott,33713
3944,29,Gylfi Þór Sigurðsson,90466
4589,29,Séamus Coleman,68390
6849,29,Lucas Digne,126664
10802,29,André Filipe Tavares Gomes,221025
15784,29,Bernard Anício Caldeira Duarte,175169
2954,22,Youri Tielemans,249565
3312,22,Demarai Gray,292417
3372,22,Rachid Ghezzal,118287
4718,22,Harvey Lewis Barnes,398065
11012,22,Jonny Evans,42412
3343,28,Dan Gosling,44983
3966,25,Charlie Austin,129627
8815,25,Jannik Vestergaard,99331
22117,25,Yan Valery,406008
3810,22,Shinji Okazaki,79642
4274,33,Callum Hudson-Odoi,392768
3600,29,Morgan Schneiderlin,56818
6196,29,Yerry Fernando Mina González,289446
8395,55,Håvard Nordtveit,42234
3959,33,Andreas Christensen,196948
3874,40,Mark Noble,31835
8172,40,Felipe Anderson Pereira Gomes,159372
10291,40,Ryan Fredericks,140191
20253,40,Samir Nasri,18935
3304,58,Harry Arter,55742
9533,58,Leandro Bacuna,126014
9922,58,David Junior Hoilett,58993
11289,58,Josh Murphy,199528
3276,32,Daniel Williams,38383
3298,32,Tom Smith,121398
3452,32,Terence Kongolo,152651
3642,32,Jonathan Hogg,61573
4621,32,Ben Hamer,67283
3316,31,James Tomkins,61592
3407,31,Scott Dann,62688
3457,31,Michy Batshuayi Tunga,179184
3684,31,Cheikhou Kouyaté,66934
3690,31,Aaron Wan-Bissaka,477758
6625,31,Vicente Guaita Panadero,64399
3275,1,Henrikh Mkhitaryan,55735
3451,1,Alexandre Lacazette,93720
3496,1,Mesut Özil,35664
3498,1,Ignacio Monreal Eraso,43003
3510,1,Sead Kolašinac,94005
3517,1,Aaron Ramsey,50057
3568,1,Mohamed Naser Elsayed Elneny,160438
3599,1,Ainsley Maitland-Niles,285845
3638,1,Shkodran Mustafi,88590
3647,1,Alex Iwobi,242631
3712,1,Pierre-Emerick Aubameyang,58864
7345,1,Mattéo Guendouzi Olié,465830
8244,1,Sokratis Papastathopoulos,34322
15581,1,Bernd Leno,72476
